"id","code","name","definition"
hc_base.subs_code_418804003,"418804003","Pharmaceutical fluid or solution agent","Pharmaceutical fluid or solution agent (substance)"
hc_base.subs_code_363521001,"363521001","Pyrazole derivative","Pyrazole derivative (substance)"
hc_base.subs_code_67620008,"67620008","Quinoline","Quinoline (substance)"
hc_base.subs_code_417881006,"417881006","Radiopharmaceutical agent","Radiopharmaceutical agent (substance)"
hc_base.subs_code_373545003,"373545003","Replacement agent","Replacement agent (substance)"
hc_base.subs_code_373272007,"373272007","Respiratory system agent","Respiratory system agent (substance)"
hc_base.subs_code_108405004,"108405004","Serotonin 5-HT>1< receptor agonist","Serotonin 5-HT>1< receptor agonist (substance)"
hc_base.subs_code_372666009,"372666009","Skeletal muscle relaxant","Skeletal muscle relaxant (substance)"
hc_base.subs_code_372894003,"372894003","Smooth muscle relaxant","Smooth muscle relaxant (substance)"
hc_base.subs_code_409207001,"409207001","Substance p/neurokinin 1 receptor antagonist","Substance p/neurokinin 1 receptor antagonist (substance)"
hc_base.subs_code_259656004,"259656004","Vitamin / trace element","Vitamin / trace element (substance)"
hc_base.subs_code_418920007,"418920007","Adhesive agent","Adhesive agent (substance)"
hc_base.subs_code_409595003,"409595003","Biohazardous material","Biohazardous material (substance)"
hc_base.subs_code_421955000,"421955000","Culture medium","Culture medium (substance)"
hc_base.subs_code_702451000,"702451000","Cultured cells","Cultured cells (substance)"
hc_base.subs_code_255922001,"255922001","Dental material","Dental material (substance)"
hc_base.subs_code_118417008,"118417008","Filling material","Filling material (substance)"
hc_base.subs_code_260786008,"260786008","Natural material","Natural material (substance)"
hc_base.subs_code_289964002,"289964002","Surgical material","Surgical material (substance)"
hc_base.subs_code_256626009,"256626009","Synthetic material","Synthetic material (substance)"
hc_base.subs_code_6141000124109,"6141000124109","Transport medium","Transport medium (substance)"
hc_base.subs_code_12171001,"12171001","Cutting oil","Cutting oil (substance)"
hc_base.subs_code_77014007,"77014007","Fixed oil","Fixed oil (substance)"
hc_base.subs_code_224763009,"224763009","Fuel oil","Fuel oil (substance)"
hc_base.subs_code_304823006,"304823006","Lubricating oil","Lubricating oil (substance)"
hc_base.subs_code_226905009,"226905009","Oil - dietary","Oil - dietary (substance)"
hc_base.subs_code_417034006,"417034006","Oil derived from plant","Oil derived from plant (substance) aka plant oil"
hc_base.subs_code_11699009,"11699009","Petroleum","Petroleum (substance)"
hc_base.subs_code_57479003,"57479003","Air contaminant","Air contaminant (substance)"
hc_base.subs_code_7047000,"7047000","Asphyxiant atmosphere","Asphyxiant atmosphere (substance)"
hc_base.subs_code_69526002,"69526002","Noxious fumes","Noxious fumes (substance)"
hc_base.subs_code_35331000,"35331000","Toxic substance","Toxic substance (substance)"
hc_base.subs_code_64242006,"64242006","Aerosol","Aerosol (substance)"
hc_base.subs_code_33008008,"33008008","Dust","Dust (substance)"
hc_base.subs_code_74947009,"74947009","Gaseous substance","Gaseous substance (substance)"
hc_base.subs_code_22893005,"22893005","Inert matter","Inert matter (substance)"
hc_base.subs_code_33463005,"33463005","Liquid substance","Liquid substance (substance)"
hc_base.subs_code_312440002,"312440002","Natural form of water","Natural form of water (substance)"
hc_base.subs_code_78910004,"78910004","Solid substance","Solid substance (substance)"
hc_base.subs_code_272524002,"272524002","Analyte","Analyte (substance)"
hc_base.subs_code_297181003,"297181003","Biologically active substance","Biologically active substance (substance)"
hc_base.subs_code_311984009,"311984009","Chemical or external agent","Chemical or external agent (substance)"
